positions_X,positions_y
-1.7545,-0.8269
-1.7724,-0.7038
-1.7906,-0.5808
-1.8089,-0.4579
-1.827,-0.3348
-1.8454,-0.2119
-1.8638,-0.0889
-1.8819,0.0341
-1.8995,0.1572
-1.9163,0.2804
-1.9321,0.4037
-1.9468,0.5271
-1.9604,0.6507
-1.9728,0.7744
-1.984,0.8982
-1.9941,1.0222
-2.0082,1.228
-2.0152,1.3522
-2.0212,1.4764
-2.0246,1.5584
-2.0291,1.6826
-2.0329,1.8069
-2.0361,1.9312
-2.0387,2.0555
-2.0408,2.1798
-2.0425,2.3041
-2.0431,2.4285
-2.0428,2.5528
-2.0416,2.6771
-2.0396,2.8014
-2.0365,2.9257
-2.0324,3.05
-2.0193,3.3406
-2.0125,3.4648
-2.0047,3.5888
-1.9957,3.7128
-1.9851,3.8367
-1.973,3.9604
-1.959,4.0839
-1.9429,4.2071
-1.9248,4.3301
-1.912,4.4111
-1.8908,4.5335
-1.8675,4.6556
-1.842,4.7772
-1.8143,4.8983
-1.7841,5.0189
-1.7515,5.1387
-1.7163,5.2579
-1.6909,5.3384
-1.6514,5.4562
-1.6095,5.5732
-1.5652,5.6893
-1.5185,5.8044
-1.4694,5.9185
-1.4176,6.0314
-1.3631,6.1429
-1.3055,6.2529
-1.2449,6.3612
-1.1814,6.4678
-1.115,6.5728
-1.046,6.6759
-0.974,6.7771
-0.8994,6.8763
-0.8222,6.9735
-0.7422,7.0684
-0.6597,7.1612
-0.5748,7.2517
-0.4876,7.3402
-0.3983,7.4264
-0.3068,7.5105
-0.2136,7.5926
-0.1187,7.6729
-0.0224,7.7515
0.075,7.8287
0.1735,7.9045
0.2731,7.9789
0.3735,8.0523
0.4745,8.1246
0.5764,8.196
0.6786,8.2668
0.7813,8.3369
0.8846,8.406
0.9888,8.4736
1.0943,8.5393
1.2011,8.6027
1.3094,8.6634
1.4191,8.7217
1.5302,8.7772
1.6426,8.8301
1.756,8.8808
1.8705,8.929
1.9859,8.9751
2.1022,9.0187
2.2194,9.0594
2.3376,9.0955
2.457,9.1253
2.5772,9.147
2.6975,9.1586
2.8175,9.159
3.0118,9.133
3.1136,9.1043
3.1967,9.0706
3.2628,9.0348
3.3164,8.999
3.3645,8.9617
3.4096,8.9221
3.4519,8.8798
3.4917,8.8349
3.5286,8.7878
3.5624,8.7384
3.5932,8.6869
3.6209,8.6335
3.6453,8.5785
3.6666,8.5218
3.6873,8.4559
3.7128,8.3462
3.7274,8.2461
3.7364,8.0964
3.735,7.9762
3.723,7.8126
3.707,7.6903
3.677,7.5274
3.6366,7.3702
3.5971,7.2546
3.5302,7.1071
3.3727,6.8742
3.291,6.7868
3.2011,6.7081
3.1031,6.6363
2.9999,6.57
2.8929,6.5085
2.7832,6.4512
2.6716,6.3968
2.5591,6.344
2.4466,6.2911
2.3345,6.2374
2.2232,6.1822
2.1132,6.1246
2.0048,6.0642
1.898,6.001
1.7935,5.9343
1.6916,5.8639
1.5929,5.7894
1.4975,5.7107
1.4063,5.6277
1.3194,5.5401
1.2375,5.4481
1.0886,5.2516
1.022,5.1478
0.9608,5.0407
0.9049,4.9305
0.8536,4.8179
0.807,4.7033
0.765,4.5868
0.716,4.4306
0.6831,4.311
0.6447,4.1492
0.6201,4.0276
0.592,3.8635
0.5745,3.7406
0.556,3.5777
0.5454,3.454
0.536,3.2878
0.5325,3.1637
0.5318,2.9972
0.5341,2.8729
0.5406,2.709
0.5482,2.585
0.5622,2.4191
0.5753,2.2955
0.5961,2.1303
0.6142,2.0073
0.6414,1.8456
