x,y,timestamp
4.3437,-3.4422,1757388692.955646
4.4256,-3.5535,1757388693.0180745
4.4827,-3.6384,1757388693.072799
4.5516,-3.7566,1757388693.1368077
4.61,-3.8777,1757388693.2031698
4.6592,-4.005,1757388693.2677596
4.6915,-4.1028,1757388693.3251219
4.7321,-4.2351,1757388693.3865933
4.7609,-4.3343,1757388693.4449873
4.807,-4.4996,1757388693.5215087
4.8434,-4.6333,1757388693.5865278
4.8792,-4.765,1757388693.654112
4.916,-4.8985,1757388693.721307
4.9536,-5.0319,1757388693.7875545
4.9933,-5.1619,1757388693.8511722
5.0397,-5.2919,1757388693.9184263
5.077,-5.3882,1757388693.9760962
5.1213,-5.5171,1757388694.0393195
5.1503,-5.6449,1757388694.1026819
5.163,-5.7759,1757388694.1726892
5.1584,-5.9075,1757388694.2418108
5.1395,-6.0391,1757388694.304144
5.118,-6.1388,1757388694.359878
5.0811,-6.2707,1757388694.4217503
5.0359,-6.4005,1757388694.4858267
4.9828,-6.5232,1757388694.5496018
4.936,-6.6143,1757388694.605301
4.8678,-6.7341,1757388694.6686008
4.813,-6.821,1757388694.720658
4.7342,-6.9339,1757388694.7829535
4.6712,-7.0145,1757388694.83867
4.5819,-7.1159,1757388694.8987198
4.5099,-7.1873,1757388694.9554026
4.4062,-7.2748,1757388695.014299
4.3244,-7.3324,1757388695.0681145
4.2079,-7.398,1757388695.1289618
4.1169,-7.4374,1757388695.1886451
3.992,-7.4764,1757388695.2431676
3.8943,-7.4963,1757388695.291944
3.7952,-7.5077,1757388695.3425093
3.6955,-7.5106,1757388695.3916388
3.5952,-7.5052,1757388695.4406223
3.461,-7.4866,1757388695.5094192
3.3619,-7.4648,1757388695.5593212
3.2643,-7.4367,1757388695.6086457
3.1683,-7.4026,1757388695.6593037
3.0746,-7.3628,1757388695.7152226
2.9833,-7.3174,1757388695.7636611
2.8939,-7.2672,1757388695.8737924
2.6908,-7.1375,1757388695.9265873
2.6076,-7.0771,1757388695.982717
2.4992,-6.9945,1757388696.0410438
2.4175,-6.9312,1757388696.0905645
2.3356,-6.8685,1757388696.1404397
2.252,-6.8083,1757388696.190092
2.1666,-6.7509,1757388696.239569
2.0794,-6.6982,1757388696.2915578
1.9889,-6.6494,1757388696.3402562
1.899,-6.5996,1757388696.3906655
1.8098,-6.5477,1757388696.440061
1.7209,-6.4955,1757388696.4951098
1.6005,-6.4338,1757388696.560529
1.5082,-6.3978,1757388696.6088774
1.4128,-6.37,1757388696.659006
1.315,-6.3503,1757388696.7106397
1.2157,-6.3385,1757388696.7612882
1.1157,-6.3346,1757388696.8217082
1.0156,-6.3387,1757388696.8599672
0.916,-6.3505,1757388696.9105384
0.8176,-6.37,1757388696.9634905
0.721,-6.3971,1757388697.0127764
0.6268,-6.4315,1757388697.0605497
0.5355,-6.4731,1757388697.1107035
0.4478,-6.5217,1757388697.1609862
0.3651,-6.5765,1757388697.211439
1.8084,-5.8446,1757388697.2645373
1.7863,-5.8506,1757388697.316331
1.7525,-5.8607,1757388697.366213
1.6904,-5.8826,1757388697.427909
1.632,-5.9022,1757388697.4803207
1.5605,-5.9212,1757388697.5386362
1.4489,-5.9384,1757388697.5920215
1.3581,-5.9411,1757388697.6411128
1.2611,-5.9344,1757388697.6915915
1.1589,-5.9245,1757388697.742438
1.0561,-5.9167,1757388697.7918634
0.9191,-5.9142,1757388697.8596618
0.8178,-5.9197,1757388697.908965
0.7178,-5.932,1757388697.9598577
0.6203,-5.952,1757388698.0120044
0.5252,-5.9807,1757388698.0602183
0.4331,-6.0177,1757388698.1095104
1.8116,-5.8439,1757388698.160299
1.7922,-5.8489,1757388698.210271
1.7604,-5.858,1757388698.2618182
1.7168,-5.872,1757388698.3151991
1.6621,-5.8923,1757388698.3676171
1.5965,-5.9206,1757388698.417071
1.5206,-5.9594,1757388698.4698732
1.4121,-6.027,1757388698.5314817
1.333,-6.0865,1757388698.588226
1.2113,-6.2,1757388698.6692696
1.1242,-6.3028,1757388698.7328975
