positions_X,positions_y
1.0869,2.323
1.0767,2.1673
1.0535,2.014
1.0179,1.874
0.9675,1.7371
0.8663,1.5556
0.6812,1.3711
0.5194,1.2895
0.3251,1.2604
0.2504,1.2667
0.8005,3.7499
0.7946,3.6873
0.7765,3.605
0.7059,3.4282
0.6197,3.2876
0.4744,3.1336
0.2627,3.011
0.8005,3.7613
0.7977,3.7162
0.7804,3.6166
0.7462,3.4987
0.6852,3.3536
0.6172,3.2412
0.4125,3.0359
0.1766,2.9017
0.8,3.7464
0.7945,3.6884
0.7673,3.5775
0.6984,3.4218
0.5958,3.2688
0.346,3.0597
0.1771,2.9783
0.7998,3.7437
0.7907,3.6653
0.7534,3.5418
0.6707,3.3866
0.4483,3.1502
0.2956,3.075
0.8,3.7697
0.7987,3.7262
0.7844,3.6347
0.7379,3.4937
0.6562,3.3315
0.5436,3.1875
0.4048,3.0778
0.2343,2.9935
0.8003,3.7602
0.8025,3.6965
0.8136,3.5807
0.8245,3.4673
0.83,3.4098
0.8304,3.4048
0.8304,3.4051
0.8303,3.4052
0.8303,3.4053
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8303,3.4054
0.8278,3.4317
0.8256,3.4544
0.8281,3.4282
0.8303,3.4058
0.8303,3.4058
0.8328,3.3796
0.8403,3.3013
0.8528,3.1722
0.8649,3.0464
0.8767,2.9243
0.8933,2.7526
0.9145,2.5328
0.9351,2.3185
0.9502,2.1629
0.9597,2.0642
0.9638,2.0219
0.9637,2.0222
0.9637,2.0225
0.9637,2.0227
0.9637,2.0229
0.9661,1.997
0.9701,1.9197
0.9665,1.7912
0.9427,1.6141
0.8908,1.4322
0.8057,1.2686
0.6874,1.1317
0.5395,1.0185
0.3713,0.9363
0.9824,1.0016
0.9962,0.9354
1.0035,0.8211
0.9775,0.6687
0.9068,0.5204
0.7963,0.3965
0.6553,0.3084
0.4952,0.2634
0.9829,0.9992
0.9946,0.9312
0.9962,0.8129
0.9615,0.6608
0.882,0.516
0.7627,0.3723
0.6436,0.2156
0.5461,0.0465
0.4755,-0.1339
0.4341,-0.3225
0.423,-0.5152
0.4428,-0.707
0.4929,-0.8932
0.572,-1.069
0.6783,-1.2298
0.8088,-1.3716
0.9604,-1.4908
1.129,-1.5841
1.3111,-1.6501
1.5016,-1.692
1.6927,-1.7039
1.8742,-1.6784
2.0448,-1.6114
2.2236,-1.5252
2.4067,-1.4548
2.5946,-1.4101
2.7819,-1.3998
2.966,-1.428
3.1404,-1.4931
3.298,-1.5923
3.432,-1.7215
3.537,-1.8753
3.6094,-2.0491
3.6653,-2.2385
3.7158,-2.582
3.6989,-2.7713
3.6463,-2.9508
3.559,-3.1188
3.4427,-3.2709
3.3024,-3.4024
3.1424,-3.5096
1.8181,-1.2563
1.8406,-1.3174
1.8637,-1.4292
1.8592,-1.5836
1.8099,-1.7403
1.7179,-1.8784
1.5906,-1.9853
1.4384,-2.0523
1.2735,-2.0738
1.1093,-2.0482
0.9588,-1.9777
0.8341,-1.8677
0.7453,-1.7273
0.6993,-1.5675
0.7,-1.4013
0.7481,-1.2333
0.8199,-1.0509
0.9432,-0.7213
1.0297,-0.4001
1.0556,-0.2193
1.0581,-0.0245
1.0026,0.3122
0.9037,0.648
0.8389,0.8343
0.7744,1.0229
0.6737,1.3608
0.6268,1.5543
0.5886,1.7496
0.5421,2.0949
0.527,2.2815
0.5184,2.4806
0.5186,2.8253
0.5259,3.0065
0.5534,3.3541
0.5952,3.6823
0.6255,3.859
0.6664,4.0538
0.7154,4.2468
0.7731,4.4373
0.8401,4.6246
0.9171,4.8079
1.0049,4.9861
1.1041,5.1581
1.2153,5.3223
1.3381,5.478
1.4722,5.6241
1.6169,5.7597
1.7714,5.8841
1.9337,5.9991
2.1004,6.1083
2.2685,6.2154
2.4348,6.325
2.5965,6.4411
2.8744,6.6752
3.0133,6.8167
3.2309,7.0962
3.3265,7.2532
3.4125,7.4306
3.4822,7.6159
3.5364,7.8063
3.574,8.0005
3.5941,8.1971
3.5956,8.3946
3.5776,8.5906
3.4901,8.9249
3.4069,9.0968
3.2963,9.2449
3.0257,9.4362
2.847,9.501
2.6581,9.535
2.4657,9.5378
1.816,-1.2539
1.846,-1.3073
2.0021,-1.5042
2.1176,-1.6559
2.2057,-1.8243
2.2639,-2.0071
2.2916,-2.1976
2.2885,-2.3904
2.255,-2.5803
2.192,-2.7626
2.101,-2.9326
1.9843,-3.0861
1.8449,-3.2193
1.8172,-1.2542
1.8397,-1.3129
1.868,-1.5372
1.8334,-1.6974
1.7628,-1.8709
1.6988,-2.0567
1.66,-2.2478
1.6506,-2.4412
